user_id,tweet_id,date,latitude,longitude,content
78638599,577532604947132416,Mon Mar 16 18:11:17 +0000 2015,36.374774,-100.80278,"darn you wind! fuck the blowing dirt, fuck these allergies!"
1321628407,577533144582090752,Mon Mar 16 18:13:26 +0000 2015,37.330705,-121.831454,I don't even get allergies. 
3002756658,577533229772587008,Mon Mar 16 18:13:46 +0000 2015,35.297541,-120.666668,The pollen count in SLO is getting out of hand 
1327573598,577533373058453504,Mon Mar 16 18:14:20 +0000 2015,29.467044,-98.450424,"""@adamcaskey: This pollen count is crushing me right now.  It's that time of year.... http://t.co/3LvDV6vHsG"" no kidding! Cant wait for rain"
962926465,577533676411469824,Mon Mar 16 18:15:33 +0000 2015,41.711546,-87.737729,Allergies why you gotta be so ruuude
82484131,577534079018504192,Mon Mar 16 18:17:09 +0000 2015,33.83858,-117.945164,"If you don't have allergies, consider yourself one lucky son of a bitch http://t.co/9GdGMJcS5f"
74082822,577534723171311616,Mon Mar 16 18:19:42 +0000 2015,29.705892,-95.447318,This pollen is killing me!
348172932,577535028210503680,Mon Mar 16 18:20:55 +0000 2015,38.516353,-89.946413,my allergies trippin all ready n my mf throat itching like a mf
231712986,577535081448800256,Mon Mar 16 18:21:08 +0000 2015,34.658364,-118.241002,My allergies are killing me 
2165092132,577535230971609088,Mon Mar 16 18:21:43 +0000 2015,33.972067,-86.053071,currently dying of a runny nose &amp; itchy eye balls &amp; a headache the size of Texas. Yay allergy season.
157944376,577535852768731136,Mon Mar 16 18:24:12 +0000 2015,37.334022,-121.878655,I'm so useless during spring and summer all I am are nose bleeds and allergies
2282454270,577536154376937472,Mon Mar 16 18:25:23 +0000 2015,29.615461,-98.510278,Allergies make me so dehydrated. I feel like a raisin
109870353,577537001630531584,Mon Mar 16 18:28:45 +0000 2015,31.98827,35.862631,And back to stupid allergies I'm so red I could be a tomato
2455195272,577537626195914752,Mon Mar 16 18:31:14 +0000 2015,35.118686,136.878832,"46

? Pollen allergy?? http://t.co/8LyPMRv8XO"
244282749,577537996154535936,Mon Mar 16 18:32:43 +0000 2015,38.97959,-90.976935,My eyes are so fucking itchy #Allergys
